# sma[pix]	I	I_err
  0.50  1.11069300e-01  2.71838461e-03
  1.00  1.11686248e-01  2.58874241e-03
  1.50  1.12925947e-01  2.74914721e-03
  2.00  1.12981620e-01  2.55608108e-03
  2.50  1.11866858e-01  2.22597557e-03
  3.00  1.10819588e-01  2.27388301e-03
  3.50  1.09622200e-01  2.68373054e-03
  4.00  1.08084534e-01  2.29477124e-03
  4.50  1.06426838e-01  2.73719745e-03
  5.00  1.05400352e-01  2.55017569e-03
  5.50  1.06330977e-01  2.71171122e-03
  6.00  1.07753926e-01  3.13359556e-03
  6.50  1.08541940e-01  4.05634237e-03
  7.00  1.07562992e-01  4.66761423e-03
  7.50  1.05030595e-01  4.76261857e-03
  8.00  1.02910712e-01  4.04448390e-03
  8.50  1.00330786e-01  4.02529061e-03
  9.00  9.81220173e-02  4.29140585e-03
  9.50  9.63839997e-02  3.79075972e-03
 10.00  9.45166756e-02  3.35931348e-03
 10.50  9.28564241e-02  3.27649462e-03
 11.00  9.10883058e-02  3.55747885e-03
 11.50  8.91329138e-02  3.70659743e-03
 12.00  8.70407610e-02  3.55961495e-03
 12.50  8.45101897e-02  3.19351611e-03
 13.00  8.25905177e-02  3.20449524e-03
 13.50  8.15866965e-02  3.19380050e-03
 14.00  8.01514514e-02  3.55921370e-03
 14.50  7.81210310e-02  3.91822593e-03
 15.00  7.58608869e-02  3.90845042e-03
 15.50  7.41119153e-02  3.36601813e-03
 16.00  7.35270381e-02  3.26151465e-03
 16.50  7.41291986e-02  3.56660906e-03
 17.00  7.42650337e-02  3.85098782e-03
 17.50  7.44747540e-02  4.11736874e-03
 18.00  7.58867594e-02  4.26572410e-03
 18.50  7.71039398e-02  4.29770750e-03
 19.00  7.76797233e-02  4.34120860e-03
 19.50  7.82643574e-02  4.54778933e-03
 20.00  7.90060708e-02  5.20220320e-03
 20.50  7.96415867e-02  5.07394651e-03
 21.00  7.96174835e-02  4.66467918e-03
 21.50  7.95422649e-02  4.52457083e-03
 22.00  8.01127709e-02  4.47784870e-03
 22.50  8.08504139e-02  4.81304331e-03
 23.00  8.12364105e-02  4.93286640e-03
 23.50  8.09433040e-02  4.54540328e-03
 24.00  7.90032958e-02  4.82464033e-03
 24.50  7.65788222e-02  4.56485143e-03
 25.00  7.51350048e-02  4.21623199e-03
 25.50  7.34194184e-02  4.36217435e-03
 26.00  7.22681775e-02  4.10775098e-03
 26.50  7.09875165e-02  4.23138757e-03
 27.00  6.88404923e-02  4.35862246e-03
 27.50  6.86736063e-02  3.84040707e-03
 28.00  6.99073554e-02  3.71367897e-03
 28.50  7.10705910e-02  3.55746848e-03
 29.00  7.23420603e-02  3.78062474e-03
 29.50  7.29696783e-02  4.35411802e-03
 30.00  7.39579301e-02  4.97714201e-03
 30.50  7.49255908e-02  5.84869873e-03
 31.00  7.55270692e-02  5.84028989e-03
 31.50  7.72099972e-02  5.55955908e-03
 32.00  7.83470297e-02  5.87113636e-03
 32.50  7.81977458e-02  6.48532943e-03
 33.00  7.77510235e-02  5.72533063e-03
 33.50  7.64293254e-02  5.08576668e-03
 34.00  7.41396761e-02  5.05975309e-03
 34.50  7.16313466e-02  4.78816717e-03
