# sma[pix]	flux[DN]	flux_err[DN]
  0.50  2.85552852e-02  3.72106499e-03
  1.00  2.54914151e-02  3.40060214e-03
  1.50  2.06387293e-02  2.76719909e-03
  2.00  1.55198544e-02  1.93040184e-03
  2.50  1.12891233e-02  1.42298687e-03
  3.00  7.56282660e-03  7.73654924e-04
  3.50  5.20549189e-03  5.47570741e-04
  4.00  3.36221834e-03  2.70486790e-04
  4.50  2.29459360e-03  1.85132096e-04
  5.00  1.51873324e-03  9.54017090e-05
  5.50  1.06982998e-03  6.03265641e-05
  6.00  7.42668823e-04  3.13511936e-05
  6.50  5.36478662e-04  2.44439604e-05
  7.00  3.83409074e-04  1.47618327e-05
  7.50  2.87558724e-04  1.11449045e-05
  8.00  2.17683958e-04  5.89089445e-06
  8.50  1.69459050e-04  4.82168547e-06
  9.00  1.33494892e-04  2.80431422e-06
  9.50  1.08897098e-04  2.58429369e-06
 10.00  8.82837253e-05  2.04979375e-06
 10.50  7.22275256e-05  2.47555024e-06
 11.00  5.88382465e-05  2.12374308e-06
 11.50  4.59403214e-05  2.20962817e-06
 12.00  3.50462382e-05  1.83281177e-06
 12.50  2.94019260e-05  7.46944826e-07
 13.00  2.66773385e-05  1.19736164e-06
 13.50  2.63132867e-05  1.49700711e-06
 14.00  2.49048532e-05  2.44204270e-06
 14.50  2.01648394e-05  1.39824779e-06
 15.00  1.61363842e-05  2.69325429e-06
 15.50  1.60898497e-05  2.64725719e-06
 16.00  1.76217652e-05  3.27616721e-06
 16.50  1.63305772e-05  2.41289586e-06
 17.00  1.23225583e-05  2.91252316e-06
 17.50  9.99252597e-06  3.10806570e-06
 18.00  8.31717721e-06  2.04933549e-06
 18.50  5.01492059e-06  1.34150484e-06
 19.00  3.15033744e-06  9.39761112e-07
 19.50  4.78991788e-06  7.15147581e-07
