# sma[pix]	I	I_err
  0.50  9.35295942e-02  1.74097023e-03
  1.00  9.24361819e-02  1.79178948e-03
  1.50  9.09981132e-02  1.96347354e-03
  2.00  8.96196040e-02  1.75949906e-03
  2.50  8.84705426e-02  1.69578598e-03
  3.00  8.75674615e-02  1.78293003e-03
  3.50  8.65700323e-02  1.49482384e-03
  4.00  8.52707100e-02  1.23274449e-03
  4.50  8.36974213e-02  1.19111714e-03
  5.00  8.20259096e-02  1.10146169e-03
  5.50  8.04671039e-02  1.08688578e-03
  6.00  7.90155201e-02  1.02230826e-03
  6.50  7.74313337e-02  9.51713024e-04
  7.00  7.57340575e-02  8.91925315e-04
  7.50  7.39879523e-02  6.75083502e-04
  8.00  7.23869221e-02  8.13029858e-04
  8.50  7.10988356e-02  8.15834647e-04
  9.00  6.99666779e-02  7.99626911e-04
  9.50  6.91289550e-02  8.39624107e-04
 10.00  6.84331940e-02  7.48435690e-04
 10.50  6.77168694e-02  7.47972590e-04
 11.00  6.67957714e-02  9.37717087e-04
 11.50  6.55106772e-02  1.03612321e-03
 12.00  6.40030906e-02  9.91712188e-04
 12.50  6.24845795e-02  9.66863381e-04
 13.00  6.13512324e-02  8.28953208e-04
 13.50  6.05690860e-02  7.37539296e-04
 14.00  6.00528294e-02  8.29448402e-04
 14.50  5.96755680e-02  7.79150756e-04
 15.00  5.91584454e-02  7.12374691e-04
 15.50  5.85533064e-02  8.09835393e-04
 16.00  5.77662643e-02  8.03433670e-04
 16.50  5.67961699e-02  8.71744747e-04
 17.00  5.57565696e-02  9.03824587e-04
 17.50  5.46146272e-02  8.52736235e-04
 18.00  5.34301041e-02  1.00350783e-03
 18.50  5.22027024e-02  1.12968360e-03
 19.00  5.09452661e-02  1.24618165e-03
 19.50  4.96495745e-02  1.38767059e-03
 20.00  4.82553301e-02  1.44103349e-03
 20.50  4.66789629e-02  1.37114766e-03
 21.00  4.50510371e-02  1.28503881e-03
 21.50  4.34944987e-02  1.13538976e-03
 22.00  4.22955655e-02  1.06476697e-03
 22.50  4.13948999e-02  7.90833087e-04
 23.00  4.05903482e-02  7.41561482e-04
 23.50  3.95660554e-02  6.47395465e-04
 24.00  3.79962490e-02  8.05608945e-04
 24.50  3.59025974e-02  7.13446527e-04
 25.00  3.35371437e-02  5.10554289e-04
 25.50  3.14382886e-02  2.76194656e-04
 26.00  2.99550238e-02  3.61265888e-04
 26.50  2.92490601e-02  3.95906931e-04
 27.00  2.88858785e-02  3.51439816e-04
 27.50  2.83594064e-02  4.57589959e-04
 28.00  2.74700534e-02  5.22517637e-04
 28.50  2.63058786e-02  4.60159905e-04
 29.00  2.50936196e-02  3.94208230e-04
 29.50  2.40377361e-02  3.29088042e-04
 30.00  2.30843901e-02  4.26876142e-04
 30.50  2.21618376e-02  6.11210553e-04
 31.00  2.13702818e-02  6.52382360e-04
 31.50  2.09292258e-02  6.72926338e-04
 32.00  2.08093977e-02  5.41603149e-04
 32.50  2.08868121e-02  6.12336227e-04
 33.00  2.06490120e-02  7.72122471e-04
 33.50  2.00939484e-02  6.46382652e-04
 34.00  1.93091649e-02  6.40902890e-04
 34.50  1.85749954e-02  5.42029518e-04
 35.00  1.80924719e-02  4.69011787e-04
 35.50  1.76156889e-02  3.78622686e-04
 36.00  1.68757977e-02  3.94069047e-04
