# sma[pix]	flux[DN]	flux_err[DN]
  0.50  2.13487158e-02  2.27546376e-03
  1.00  1.95654910e-02  1.86155020e-03
  1.50  1.68370040e-02  1.68813505e-03
  2.00  1.38785377e-02  1.32179727e-03
  2.50  1.09493416e-02  1.05313236e-03
  3.00  8.43961576e-03  7.44406044e-04
  3.50  6.35182215e-03  4.68454700e-04
  4.00  4.75476860e-03  3.28597771e-04
  4.50  3.53602326e-03  2.30616121e-04
  5.00  2.64059578e-03  1.48588615e-04
  5.50  1.97139941e-03  1.03448036e-04
  6.00  1.48159714e-03  6.24547474e-05
  6.50  1.12163148e-03  4.37020545e-05
  7.00  8.55504704e-04  3.10412074e-05
  7.50  6.57987610e-04  2.19079112e-05
  8.00  5.07772660e-04  1.50007090e-05
  8.50  3.96084496e-04  1.06975027e-05
  9.00  3.06541895e-04  8.30234589e-06
  9.50  2.35276494e-04  6.51215968e-06
 10.00  1.78399084e-04  4.87788988e-06
 10.50  1.35460936e-04  3.18284072e-06
 11.00  1.01706423e-04  2.29526286e-06
 11.50  7.54824949e-05  1.55907126e-06
 12.00  5.55367081e-05  1.10825155e-06
 12.50  4.01032953e-05  9.93598195e-07
 13.00  2.83754402e-05  6.13351408e-07
 13.50  1.92357011e-05  6.20830113e-07
 14.00  1.23281776e-05  2.84737882e-07
 14.50  7.02384525e-06  2.74077736e-07
 15.00  3.22813500e-06  1.06815387e-07
 15.50  8.94924410e-07  1.21015594e-07
 16.00  9.79410309e-08  4.37816701e-08
 16.50  2.11536332e-10  9.45611234e-11
 17.00  0.00000000e+00  0.00000000e+00
 17.50  0.00000000e+00  0.00000000e+00
 18.00  4.63148477e-10  2.07036965e-10
 18.50  1.37672409e-07  5.22158647e-08
 19.00  8.67646324e-07  6.11081572e-08
 19.50  2.62770722e-06  1.05938859e-07
